"中国,黑龙江,哈尔滨市,依兰县",230123
"中国,黑龙江,哈尔滨市,方正县",230124
"中国,黑龙江,哈尔滨市,宾县",230125
"中国,黑龙江,哈尔滨市,巴彦县",230126
"中国,黑龙江,哈尔滨市,木兰县",230127
"中国,黑龙江,哈尔滨市,通河县",230128
"中国,黑龙江,哈尔滨市,延寿县",230129
"中国,黑龙江,哈尔滨市,尚志市",230183
"中国,黑龙江,哈尔滨市,五常市",230184
"中国,黑龙江,哈尔滨市",230100
"中国,黑龙江,齐齐哈尔市,龙沙区",230202
"中国,黑龙江,齐齐哈尔市,建华区",230203
"中国,黑龙江,齐齐哈尔市,铁锋区",230204
"中国,黑龙江,齐齐哈尔市,昂昂溪区",230205
"中国,黑龙江,齐齐哈尔市,富拉尔基区",230206
"中国,黑龙江,齐齐哈尔市,碾子山区",230207
"中国,黑龙江,齐齐哈尔市,梅里斯达斡尔族区",230208
"中国,黑龙江,齐齐哈尔市,龙江县",230221
"中国,黑龙江,齐齐哈尔市,依安县",230223
"中国,黑龙江,齐齐哈尔市,泰来县",230224
"中国,黑龙江,齐齐哈尔市,甘南县",230225
"中国,黑龙江,齐齐哈尔市,富裕县",230227
"中国,黑龙江,齐齐哈尔市,克山县",230229
"中国,黑龙江,齐齐哈尔市,克东县",230230
"中国,黑龙江,齐齐哈尔市,拜泉县",230231
"中国,黑龙江,齐齐哈尔市,讷河市",230281
"中国,黑龙江,齐齐哈尔市",230200
"中国,黑龙江,鸡西市,鸡冠区",230302
"中国,黑龙江,鸡西市,恒山区",230303
"中国,黑龙江,鸡西市,滴道区",230304
"中国,黑龙江,鸡西市,梨树区",230305
"中国,黑龙江,鸡西市,城子河区",230306
"中国,黑龙江,鸡西市,麻山区",230307
"中国,黑龙江,鸡西市,鸡东县",230321
"中国,黑龙江,鸡西市,虎林市",230381
"中国,黑龙江,鸡西市,密山市",230382
"中国,黑龙江,鸡西市",230300
"中国,黑龙江,鹤岗市,向阳区",230402
"中国,黑龙江,鹤岗市,工农区",230403
"中国,黑龙江,鹤岗市,南山区",230404
"中国,黑龙江,鹤岗市,兴安区",230405
"中国,黑龙江,鹤岗市,东山区",230406
"中国,黑龙江,鹤岗市,兴山区",230407
"中国,黑龙江,鹤岗市,萝北县",230421
"中国,黑龙江,鹤岗市,绥滨县",230422
"中国,黑龙江,鹤岗市",230400
"中国,黑龙江,双鸭山市,尖山区",230502
"中国,黑龙江,双鸭山市,岭东区",230503
"中国,黑龙江,双鸭山市,四方台区",230505
"中国,黑龙江,双鸭山市,宝山区",230506
"中国,黑龙江,双鸭山市,集贤县",230521
"中国,黑龙江,双鸭山市,友谊县",230522
"中国,黑龙江,双鸭山市,宝清县",230523
"中国,黑龙江,双鸭山市,饶河县",230524
"中国,黑龙江,双鸭山市",230500
"中国,黑龙江,大庆市,萨尔图区",230602
"中国,黑龙江,大庆市,龙凤区",230603
"中国,黑龙江,大庆市,让胡路区",230604
"中国,黑龙江,大庆市,红岗区",230605
"中国,黑龙江,大庆市,大同区",230606
"中国,黑龙江,大庆市,肇州县",230621
"中国,黑龙江,大庆市,肇源县",230622
"中国,黑龙江,大庆市,林甸县",230623
"中国,黑龙江,大庆市,杜尔伯特蒙古族自治县",230624
"中国,黑龙江,大庆市",230600
"中国,黑龙江,伊春市,伊春区",230702
"中国,黑龙江,伊春市,南岔区",230703
"中国,黑龙江,伊春市,友好区",230704
"中国,黑龙江,伊春市,西林区",230705
"中国,黑龙江,伊春市,翠峦区",230706
"中国,黑龙江,伊春市,新青区",230707
"中国,黑龙江,伊春市,美溪区",230708
"中国,黑龙江,伊春市,金山屯区",230709
"中国,黑龙江,伊春市,五营区",230710
"中国,黑龙江,伊春市,乌马河区",230711
"中国,黑龙江,伊春市,汤旺河区",230712
"中国,黑龙江,伊春市,带岭区",230713
"中国,黑龙江,伊春市,乌伊岭区",230714
"中国,黑龙江,伊春市,红星区",230715
"中国,黑龙江,伊春市,上甘岭区",230716
"中国,黑龙江,伊春市,嘉荫县",230722
"中国,黑龙江,伊春市,铁力市",230781
"中国,黑龙江,伊春市",230700
"中国,黑龙江,佳木斯市,向阳区",230803
"中国,黑龙江,佳木斯市,前进区",230804
"中国,黑龙江,佳木斯市,东风区",230805
"中国,黑龙江,佳木斯市,郊区",230811
"中国,黑龙江,佳木斯市,桦南县",230822
"中国,黑龙江,佳木斯市,桦川县",230826
"中国,黑龙江,佳木斯市,汤原县",230828
"中国,黑龙江,佳木斯市,同江市",230881
"中国,黑龙江,佳木斯市,富锦市",230882
"中国,黑龙江,佳木斯市,抚远市",230883
"中国,黑龙江,佳木斯市",230800
"中国,黑龙江,七台河市,新兴区",230902
"中国,黑龙江,七台河市,桃山区",230903
"中国,黑龙江,七台河市,茄子河区",230904
"中国,黑龙江,七台河市,勃利县",230921
"中国,黑龙江,七台河市",230900
"中国,黑龙江,牡丹江市,东安区",231002
"中国,黑龙江,牡丹江市,阳明区",231003
"中国,黑龙江,牡丹江市,爱民区",231004
"中国,黑龙江,牡丹江市,西安区",231005
"中国,黑龙江,牡丹江市,林口县",231025
"中国,黑龙江,牡丹江市,绥芬河市",231081
"中国,黑龙江,牡丹江市,海林市",231083
"中国,黑龙江,牡丹江市,宁安市",231084
"中国,黑龙江,牡丹江市,穆棱市",231085
"中国,黑龙江,牡丹江市,东宁市",231086
"中国,黑龙江,牡丹江市",231000
"中国,黑龙江,黑河市,爱辉区",231102
"中国,黑龙江,黑河市,嫩江县",231121
"中国,黑龙江,黑河市,逊克县",231123
"中国,黑龙江,黑河市,孙吴县",231124
"中国,黑龙江,黑河市,北安市",231181
"中国,黑龙江,黑河市,五大连池市",231182
"中国,黑龙江,黑河市",231100
"中国,黑龙江,绥化市,北林区",231202
"中国,黑龙江,绥化市,望奎县",231221
"中国,黑龙江,绥化市,兰西县",231222
"中国,黑龙江,绥化市,青冈县",231223
"中国,黑龙江,绥化市,庆安县",231224
"中国,黑龙江,绥化市,明水县",231225
"中国,黑龙江,绥化市,绥棱县",231226
"中国,黑龙江,绥化市,安达市",231281
"中国,黑龙江,绥化市,肇东市",231282
"中国,黑龙江,绥化市,海伦市",231283
"中国,黑龙江,绥化市",231200
"中国,黑龙江,大兴安岭地区,加格达奇区",232701
"中国,黑龙江,大兴安岭地区,呼玛县",232721
"中国,黑龙江,大兴安岭地区,塔河县",232722
"中国,黑龙江,大兴安岭地区,漠河县",232723
"中国,黑龙江,大兴安岭地区",232700
"中国,黑龙江",230000
"中国,上海,黄浦区",310101
"中国,上海,徐汇区",310104
"中国,上海,长宁区",310105
"中国,上海,静安区",310106
"中国,上海,普陀区",310107
"中国,上海,虹口区",310109
"中国,上海,杨浦区",310110
"中国,上海,闵行区",310112
"中国,上海,宝山区",310113
"中国,上海,嘉定区",310114
"中国,上海,浦东新区",310115
"中国,上海,金山区",310116
"中国,上海,松江区",310117
"中国,上海,青浦区",310118
"中国,上海,奉贤区",310120
"中国,上海,崇明区",310151
"中国,上海",310000
"中国,江苏,南京市,玄武区",320102
"中国,江苏,南京市,秦淮区",320104
"中国,江苏,南京市,建邺区",320105
"中国,江苏,南京市,鼓楼区",320106
"中国,江苏,南京市,浦口区",320111
"中国,江苏,南京市,栖霞区",320113
"中国,江苏,南京市,雨花台区",320114
"中国,江苏,南京市,江宁区",320115
"中国,江苏,南京市,六合区",320116
"中国,江苏,南京市,溧水区",320117
"中国,江苏,南京市,高淳区",320118
"中国,江苏,南京市",320100
"中国,江苏,无锡市,锡山区",320205
"中国,江苏,无锡市,惠山区",320206
"中国,江苏,无锡市,滨湖区",320211
"中国,江苏,无锡市,梁溪区",320213
"中国,江苏,无锡市,新吴区",320214
"中国,江苏,无锡市,江阴市",320281
"中国,江苏,无锡市,宜兴市",320282
"中国,江苏,无锡市",320200
"中国,江苏,徐州市,鼓楼区",320302
"中国,江苏,徐州市,云龙区",320303
"中国,江苏,徐州市,贾汪区",320305
"中国,江苏,徐州市,泉山区",320311
"中国,江苏,徐州市,铜山区",320312
"中国,江苏,徐州市,丰县",320321
"中国,江苏,徐州市,沛县",320322
"中国,江苏,徐州市,睢宁县",320324
"中国,江苏,徐州市,新沂市",320381
"中国,江苏,徐州市,邳州市",320382
"中国,江苏,徐州市",320300
"中国,江苏,常州市,天宁区",320402
"中国,江苏,常州市,钟楼区",320404
"中国,江苏,常州市,新北区",320411
"中国,江苏,常州市,武进区",320412
"中国,江苏,常州市,金坛区",320413
"中国,江苏,常州市,溧阳市",320481
"中国,江苏,常州市",320400
"中国,江苏,苏州市,虎丘区",320505
"中国,江苏,苏州市,吴中区",320506
"中国,江苏,苏州市,相城区",320507
"中国,江苏,苏州市,姑苏区",320508
"中国,江苏,苏州市,吴江区",320509
"中国,江苏,苏州市,常熟市",320581
"中国,江苏,苏州市,张家港市",320582
"中国,江苏,苏州市,昆山市",320583
"中国,江苏,苏州市,太仓市",320585
"中国,江苏,苏州市",320500
"中国,江苏,南通市,崇川区",320602
"中国,江苏,南通市,港闸区",320611
"中国,江苏,南通市,通州区",320612
"中国,江苏,南通市,海安县",320621
"中国,江苏,南通市,如东县",320623
"中国,江苏,南通市,启东市",320681
"中国,江苏,南通市,如皋市",320682
"中国,江苏,南通市,海门市",320684
"中国,江苏,南通市",320600
"中国,江苏,连云港市,连云区",320703
"中国,江苏,连云港市,海州区",320706
"中国,江苏,连云港市,赣榆区",320707
"中国,江苏,连云港市,东海县",320722
"中国,江苏,连云港市,灌云县",320723
"中国,江苏,连云港市,灌南县",320724
"中国,江苏,连云港市",320700
"中国,江苏,淮安市,清江浦区",320812
"中国,江苏,淮安市,淮安区",320803
"中国,江苏,淮安市,淮阴区",320804
"中国,江苏,淮安市,洪泽区",320813
"中国,江苏,淮安市,涟水县",320826
"中国,江苏,淮安市,盱眙县",320830
"中国,江苏,淮安市,金湖县",320831
"中国,江苏,淮安市",320800
"中国,江苏,盐城市,亭湖区",320902
"中国,江苏,盐城市,盐都区",320903
"中国,江苏,盐城市,大丰区",320904
"中国,江苏,盐城市,响水县",320921
"中国,江苏,盐城市,滨海县",320922
"中国,江苏,盐城市,阜宁县",320923
"中国,江苏,盐城市,射阳县",320924
"中国,江苏,盐城市,建湖县",320925
"中国,江苏,盐城市,东台市",320981
"中国,江苏,盐城市",320900
"中国,江苏,扬州市,广陵区",321002
"中国,江苏,扬州市,邗江区",321003
"中国,江苏,扬州市,江都区",321012
"中国,江苏,扬州市,宝应县",321023
"中国,江苏,扬州市,仪征市",321081
"中国,江苏,扬州市,高邮市",321084
"中国,江苏,扬州市",321000
"中国,江苏,镇江市,京口区",321102
"中国,江苏,镇江市,润州区",321111
"中国,江苏,镇江市,丹徒区",321112
"中国,江苏,镇江市,丹阳市",321181
"中国,江苏,镇江市,扬中市",321182
"中国,江苏,镇江市,句容市",321183
"中国,江苏,镇江市",321100
"中国,江苏,泰州市,海陵区",321202
"中国,江苏,泰州市,高港区",321203
"中国,江苏,泰州市,姜堰区",321204
"中国,江苏,泰州市,兴化市",321281
"中国,江苏,泰州市,靖江市",321282
"中国,江苏,泰州市,泰兴市",321283
"中国,江苏,泰州市",321200
"中国,江苏,宿迁市,宿城区",321302
"中国,江苏,宿迁市,宿豫区",321311
"中国,江苏,宿迁市,沭阳县",321322
"中国,江苏,宿迁市,泗阳县",321323
"中国,江苏,宿迁市,泗洪县",321324
"中国,江苏,宿迁市",321300
"中国,江苏",320000
"中国,浙江,杭州市,上城区",330102
"中国,浙江,杭州市,下城区",330103
"中国,浙江,杭州市,江干区",330104
"中国,浙江,杭州市,拱墅区",330105
"中国,浙江,杭州市,西湖区",330106
"中国,浙江,杭州市,滨江区",330108
"中国,浙江,杭州市,萧山区",330109
"中国,浙江,杭州市,余杭区",330110
"中国,浙江,杭州市,富阳区",330111
"中国,浙江,杭州市,桐庐县",330122
"中国,浙江,杭州市,淳安县",330127
"中国,浙江,杭州市,建德市",330182
"中国,浙江,杭州市,临安区",330185
"中国,浙江,杭州市",330100
"中国,浙江,宁波市,海曙区",330203
"中国,浙江,宁波市,江北区",330205
"中国,浙江,宁波市,北仑区",330206
"中国,浙江,宁波市,镇海区",330211
"中国,浙江,宁波市,鄞州区",330212
"中国,浙江,宁波市,象山县",330225
"中国,浙江,宁波市,宁海县",330226
"中国,浙江,宁波市,余姚市",330281
"中国,浙江,宁波市,慈溪市",330282
"中国,浙江,宁波市,奉化区",330213
"中国,浙江,宁波市",330200
"中国,浙江,温州市,鹿城区",330302
"中国,浙江,温州市,龙湾区",330303
"中国,浙江,温州市,瓯海区",330304
"中国,浙江,温州市,洞头区",330305
"中国,浙江,温州市,永嘉县",330324
"中国,浙江,温州市,平阳县",330326
"中国,浙江,温州市,苍南县",330327
"中国,浙江,温州市,文成县",330328
"中国,浙江,温州市,泰顺县",330329
"中国,浙江,温州市,瑞安市",330381
"中国,浙江,温州市,乐清市",330382
"中国,浙江,温州市",330300
"中国,浙江,嘉兴市,南湖区",330402
"中国,浙江,嘉兴市,秀洲区",330411
"中国,浙江,嘉兴市,嘉善县",330421
"中国,浙江,嘉兴市,海盐县",330424
"中国,浙江,嘉兴市,海宁市",330481
"中国,浙江,嘉兴市,平湖市",330482
"中国,浙江,嘉兴市,桐乡市",330483
"中国,浙江,嘉兴市",330400
"中国,浙江,湖州市,吴兴区",330502
"中国,浙江,湖州市,南浔区",330503
"中国,浙江,湖州市,德清县",330521
"中国,浙江,湖州市,长兴县",330522
"中国,浙江,湖州市,安吉县",330523
"中国,浙江,湖州市",330500
"中国,浙江,绍兴市,越城区",330602
"中国,浙江,绍兴市,柯桥区",330603
"中国,浙江,绍兴市,上虞区",330604
"中国,浙江,绍兴市,新昌县",330624
"中国,浙江,绍兴市,诸暨市",330681
"中国,浙江,绍兴市,嵊州市",330683
"中国,浙江,绍兴市",330600
"中国,浙江,金华市,婺城区",330702
"中国,浙江,金华市,金东区",330703
"中国,浙江,金华市,武义县",330723
"中国,浙江,金华市,浦江县",330726
"中国,浙江,金华市,磐安县",330727
"中国,浙江,金华市,兰溪市",330781
"中国,浙江,金华市,义乌市",330782
"中国,浙江,金华市,东阳市",330783
"中国,浙江,金华市,永康市",330784
"中国,浙江,金华市",330700
"中国,浙江,衢州市,柯城区",330802
"中国,浙江,衢州市,衢江区",330803
"中国,浙江,衢州市,常山县",330822
"中国,浙江,衢州市,开化县",330824
"中国,浙江,衢州市,龙游县",330825
"中国,浙江,衢州市,江山市",330881
"中国,浙江,衢州市",330800
"中国,浙江,舟山市,定海区",330902
"中国,浙江,舟山市,普陀区",330903
"中国,浙江,舟山市,岱山县",330921
"中国,浙江,舟山市,嵊泗县",330922
"中国,浙江,舟山市",330900
"中国,浙江,台州市,椒江区",331002
"中国,浙江,台州市,黄岩区",331003
"中国,浙江,台州市,路桥区",331004
"中国,浙江,台州市,玉环市",331083
"中国,浙江,台州市,三门县",331022
"中国,浙江,台州市,天台县",331023
"中国,浙江,台州市,仙居县",331024
"中国,浙江,台州市,温岭市",331081
"中国,浙江,台州市,临海市",331082
"中国,浙江,台州市",331000
"中国,浙江,丽水市,莲都区",331102
"中国,浙江,丽水市,青田县",331121
"中国,浙江,丽水市,缙云县",331122
"中国,浙江,丽水市,遂昌县",331123
"中国,浙江,丽水市,松阳县",331124
"中国,浙江,丽水市,云和县",331125
"中国,浙江,丽水市,庆元县",331126
"中国,浙江,丽水市,景宁畲族自治县",331127
"中国,浙江,丽水市,龙泉市",331181
"中国,浙江,丽水市",331100
"中国,浙江",330000
"中国,安徽,合肥市,瑶海区",340102
"中国,安徽,合肥市,庐阳区",340103
"中国,安徽,合肥市,蜀山区",340104
"中国,安徽,合肥市,包河区",340111
"中国,安徽,合肥市,长丰县",340121
"中国,安徽,合肥市,肥东县",340122
"中国,安徽,合肥市,肥西县",340123
"中国,安徽,合肥市,庐江县",340124
"中国,安徽,合肥市,巢湖市",340181
"中国,安徽,合肥市",340100
"中国,安徽,芜湖市,镜湖区",340202
"中国,安徽,芜湖市,弋江区",340203
"中国,安徽,芜湖市,鸠江区",340207
"中国,安徽,芜湖市,三山区",340208
"中国,安徽,芜湖市,芜湖县",340221
"中国,安徽,芜湖市,繁昌县",340222
"中国,安徽,芜湖市,南陵县",340223
"中国,安徽,芜湖市,无为县",340225
"中国,安徽,芜湖市",340200
"中国,安徽,蚌埠市,龙子湖区",340302
"中国,安徽,蚌埠市,蚌山区",340303
"中国,安徽,蚌埠市,禹会区",340304
"中国,安徽,蚌埠市,淮上区",340311
"中国,安徽,蚌埠市,怀远县",340321
"中国,安徽,蚌埠市,五河县",340322
"中国,安徽,蚌埠市,固镇县",340323
"中国,安徽,蚌埠市",340300
"中国,安徽,淮南市,大通区",340402
"中国,安徽,淮南市,田家庵区",340403
"中国,安徽,淮南市,谢家集区",340404
"中国,安徽,淮南市,八公山区",340405
"中国,安徽,淮南市,潘集区",340406
"中国,安徽,淮南市,凤台县",340421
"中国,安徽,淮南市,寿县",340422
"中国,安徽,淮南市",340400
"中国,安徽,马鞍山市,花山区",340503
"中国,安徽,马鞍山市,雨山区",340504
"中国,安徽,马鞍山市,博望区",340506
"中国,安徽,马鞍山市,当涂县",340521
"中国,安徽,马鞍山市,含山县",340522
"中国,安徽,马鞍山市,和县",340523
"中国,安徽,马鞍山市",340500
"中国,安徽,淮北市,杜集区",340602
"中国,安徽,淮北市,相山区",340603
"中国,安徽,淮北市,烈山区",340604
"中国,安徽,淮北市,濉溪县",340621
"中国,安徽,淮北市",340600
"中国,安徽,铜陵市,铜官区",340705
"中国,安徽,铜陵市,义安区",340706
"中国,安徽,铜陵市,郊区",340711
"中国,安徽,铜陵市,枞阳县",340722
"中国,安徽,铜陵市",340700
"中国,安徽,安庆市,迎江区",340802
"中国,安徽,安庆市,大观区",340803
"中国,安徽,安庆市,宜秀区",340811
"中国,安徽,安庆市,怀宁县",340822
"中国,安徽,安庆市,潜山县",340824
"中国,安徽,安庆市,太湖县",340825
"中国,安徽,安庆市,宿松县",340826
"中国,安徽,安庆市,望江县",340827
"中国,安徽,安庆市,岳西县",340828
"中国,安徽,安庆市,桐城市",340881
"中国,安徽,安庆市",340800
"中国,安徽,黄山市,屯溪区",341002
"中国,安徽,黄山市,黄山区",341003
"中国,安徽,黄山市,徽州区",341004
"中国,安徽,黄山市,歙县",341021
"中国,安徽,黄山市,休宁县",341022
"中国,安徽,黄山市,黟县",341023
"中国,安徽,黄山市,祁门县",341024
"中国,安徽,黄山市",341000
"中国,安徽,滁州市,琅琊区",341102
"中国,安徽,滁州市,南谯区",341103
"中国,安徽,滁州市,来安县",341122
"中国,安徽,滁州市,全椒县",341124
"中国,安徽,滁州市,定远县",341125
"中国,安徽,滁州市,凤阳县",341126
"中国,安徽,滁州市,天长市",341181
"中国,安徽,滁州市,明光市",341182
"中国,安徽,滁州市",341100
"中国,安徽,阜阳市,颍州区",341202
"中国,安徽,阜阳市,颍东区",341203
"中国,安徽,阜阳市,颍泉区",341204
"中国,安徽,阜阳市,临泉县",341221
"中国,安徽,阜阳市,太和县",341222
"中国,安徽,阜阳市,阜南县",341225
"中国,安徽,阜阳市,颍上县",341226
"中国,安徽,阜阳市,界首市",341282
"中国,安徽,阜阳市",341200
"中国,安徽,宿州市,埇桥区",341302
"中国,安徽,宿州市,砀山县",341321
"中国,安徽,宿州市,萧县",341322
"中国,安徽,宿州市,灵璧县",341323
"中国,安徽,宿州市,泗县",341324
"中国,安徽,宿州市",341300
"中国,安徽,六安市,金安区",341502
"中国,安徽,六安市,裕安区",341503
"中国,安徽,六安市,叶集区",341504
"中国,安徽,六安市,霍邱县",341522
"中国,安徽,六安市,舒城县",341523
"中国,安徽,六安市,金寨县",341524
"中国,安徽,六安市,霍山县",341525
"中国,安徽,六安市",341500
"中国,安徽,亳州市,谯城区",341602
"中国,安徽,亳州市,涡阳县",341621
"中国,安徽,亳州市,蒙城县",341622
"中国,安徽,亳州市,利辛县",341623
"中国,安徽,亳州市",341600
"中国,安徽,池州市,贵池区",341702
"中国,安徽,池州市,东至县",341721
"中国,安徽,池州市,石台县",341722
"中国,安徽,池州市,青阳县",341723
"中国,安徽,池州市",341700
"中国,安徽,宣城市,宣州区",341802
"中国,安徽,宣城市,郎溪县",341821
"中国,安徽,宣城市,广德县",341822
"中国,安徽,宣城市,泾县",341823
"中国,安徽,宣城市,绩溪县",341824
"中国,安徽,宣城市,旌德县",341825
"中国,安徽,宣城市,宁国市",341881
"中国,安徽,宣城市",341800
"中国,安徽",340000
"中国,福建,福州市,鼓楼区",350102
"中国,福建,福州市,台江区",350103
"中国,福建,福州市,仓山区",350104
"中国,福建,福州市,马尾区",350105
"中国,福建,福州市,晋安区",350111
"中国,福建,福州市,闽侯县",350121
"中国,福建,福州市,连江县",350122
"中国,福建,福州市,罗源县",350123
"中国,福建,福州市,闽清县",350124
"中国,福建,福州市,永泰县",350125
"中国,福建,福州市,平潭县",350128
"中国,福建,福州市,福清市",350181
"中国,福建,福州市,长乐区",350182
"中国,福建,福州市",350100
"中国,福建,厦门市,思明区",350203
"中国,福建,厦门市,海沧区",350205
"中国,福建,厦门市,湖里区",350206
"中国,福建,厦门市,集美区",350211
"中国,福建,厦门市,同安区",350212
"中国,福建,厦门市,翔安区",350213
"中国,福建,厦门市",350200
"中国,福建,莆田市,城厢区",350302
"中国,福建,莆田市,涵江区",350303
"中国,福建,莆田市,荔城区",350304
"中国,福建,莆田市,秀屿区",350305
"中国,福建,莆田市,仙游县",350322
"中国,福建,莆田市",350300
"中国,福建,三明市,梅列区",350402
"中国,福建,三明市,三元区",350403
"中国,福建,三明市,明溪县",350421
"中国,福建,三明市,清流县",350423
"中国,福建,三明市,宁化县",350424
"中国,福建,三明市,大田县",350425
"中国,福建,三明市,尤溪县",350426
"中国,福建,三明市,沙县",350427
"中国,福建,三明市,将乐县",350428
"中国,福建,三明市,泰宁县",350429
"中国,福建,三明市,建宁县",350430
"中国,福建,三明市,永安市",350481
"中国,福建,三明市",350400
"中国,福建,泉州市,鲤城区",350502
"中国,福建,泉州市,丰泽区",350503
"中国,福建,泉州市,洛江区",350504
"中国,福建,泉州市,泉港区",350505
"中国,福建,泉州市,惠安县",350521
"中国,福建,泉州市,安溪县",350524
"中国,福建,泉州市,永春县",350525
"中国,福建,泉州市,德化县",350526
"中国,福建,泉州市,金门县",350527
"中国,福建,泉州市,石狮市",350581
"中国,福建,泉州市,晋江市",350582
"中国,福建,泉州市,南安市",350583
"中国,福建,泉州市",350500
"中国,福建,漳州市,芗城区",350602
"中国,福建,漳州市,龙文区",350603
"中国,福建,漳州市,云霄县",350622
"中国,福建,漳州市,漳浦县",350623
"中国,福建,漳州市,诏安县",350624
"中国,福建,漳州市,长泰县",350625
"中国,福建,漳州市,东山县",350626
"中国,福建,漳州市,南靖县",350627
"中国,福建,漳州市,平和县",350628
"中国,福建,漳州市,华安县",350629
"中国,福建,漳州市,龙海市",350681
"中国,福建,漳州市",350600
"中国,福建,南平市,延平区",350702
"中国,福建,南平市,建阳区",350703
"中国,福建,南平市,顺昌县",350721
"中国,福建,南平市,浦城县",350722
"中国,福建,南平市,光泽县",350723
"中国,福建,南平市,松溪县",350724
"中国,福建,南平市,政和县",350725
"中国,福建,南平市,邵武市",350781
"中国,福建,南平市,武夷山市",350782
"中国,福建,南平市,建瓯市",350783
"中国,福建,南平市",350700
"中国,福建,龙岩市,新罗区",350802
"中国,福建,龙岩市,永定区",350803
"中国,福建,龙岩市,长汀县",350821
"中国,福建,龙岩市,上杭县",350823
"中国,福建,龙岩市,武平县",350824
"中国,福建,龙岩市,连城县",350825
"中国,福建,龙岩市,漳平市",350881
"中国,福建,龙岩市",350800
"中国,福建,宁德市,蕉城区",350902
"中国,福建,宁德市,霞浦县",350921
"中国,福建,宁德市,古田县",350922
"中国,福建,宁德市,屏南县",350923
"中国,福建,宁德市,寿宁县",350924
"中国,福建,宁德市,周宁县",350925
"中国,福建,宁德市,柘荣县",350926
"中国,福建,宁德市,福安市",350981
"中国,福建,宁德市,福鼎市",350982
"中国,福建,宁德市",350900
"中国,福建",350000
"中国,江西,南昌市,东湖区",360102
"中国,江西,南昌市,西湖区",360103
"中国,江西,南昌市,青云谱区",360104
"中国,江西,南昌市,湾里区",360105
"中国,江西,南昌市,青山湖区",360111
"中国,江西,南昌市,新建区",360112
"中国,江西,南昌市,南昌县",360121
"中国,江西,南昌市,安义县",360123
"中国,江西,南昌市,进贤县",360124
"中国,江西,南昌市",360100
"中国,江西,景德镇市,昌江区",360202
"中国,江西,景德镇市,珠山区",360203
"中国,江西,景德镇市,浮梁县",360222
"中国,江西,景德镇市,乐平市",360281
"中国,江西,景德镇市",360200
"中国,江西,萍乡市,安源区",360302
"中国,江西,萍乡市,湘东区",360313
"中国,江西,萍乡市,莲花县",360321
"中国,江西,萍乡市,上栗县",360322
"中国,江西,萍乡市,芦溪县",360323
"中国,江西,萍乡市",360300
"中国,江西,九江市,濂溪区",360402
"中国,江西,九江市,浔阳区",360403
"中国,江西,九江市,紫桑区",360421
"中国,江西,九江市,武宁县",360423
"中国,江西,九江市,修水县",360424
"中国,江西,九江市,永修县",360425
"中国,江西,九江市,德安县",360426
"中国,江西,九江市,庐山市",360483
"中国,江西,九江市,都昌县",360428
"中国,江西,九江市,湖口县",360429
"中国,江西,九江市,彭泽县",360430
"中国,江西,九江市,瑞昌市",360481
"中国,江西,九江市,共青城市",360482
"中国,江西,九江市",360400
"中国,江西,新余市,渝水区",360502
"中国,江西,新余市,分宜县",360521
"中国,江西,新余市",360500
"中国,江西,鹰潭市,月湖区",360602
"中国,江西,鹰潭市,余江县",360622
"中国,江西,鹰潭市,贵溪市",360681
"中国,江西,鹰潭市",360600
"中国,江西,赣州市,章贡区",360702
"中国,江西,赣州市,南康区",360703
"中国,江西,赣州市,赣县区",360704
"中国,江西,赣州市,信丰县",360722
"中国,江西,赣州市,大余县",360723
"中国,江西,赣州市,上犹县",360724
"中国,江西,赣州市,崇义县",360725
"中国,江西,赣州市,安远县",360726
"中国,江西,赣州市,龙南县",360727
"中国,江西,赣州市,定南县",360728
"中国,江西,赣州市,全南县",360729
"中国,江西,赣州市,宁都县",360730
"中国,江西,赣州市,于都县",360731
"中国,江西,赣州市,兴国县",360732
"中国,江西,赣州市,会昌县",360733
"中国,江西,赣州市,寻乌县",360734
"中国,江西,赣州市,石城县",360735
"中国,江西,赣州市,瑞金市",360781
"中国,江西,赣州市",360700
"中国,江西,吉安市,吉州区",360802
"中国,江西,吉安市,青原区",360803
"中国,江西,吉安市,吉安县",360821
"中国,江西,吉安市,吉水县",360822
"中国,江西,吉安市,峡江县",360823
"中国,江西,吉安市,新干县",360824
"中国,江西,吉安市,永丰县",360825
"中国,江西,吉安市,泰和县",360826
"中国,江西,吉安市,遂川县",360827
"中国,江西,吉安市,万安县",360828
"中国,江西,吉安市,安福县",360829
"中国,江西,吉安市,永新县",360830
"中国,江西,吉安市,井冈山市",360881
"中国,江西,吉安市",360800
"中国,江西,宜春市,袁州区",360902
"中国,江西,宜春市,奉新县",360921
"中国,江西,宜春市,万载县",360922
"中国,江西,宜春市,上高县",360923
"中国,江西,宜春市,宜丰县",360924
"中国,江西,宜春市,靖安县",360925
"中国,江西,宜春市,铜鼓县",360926
"中国,江西,宜春市,丰城市",360981
"中国,江西,宜春市,樟树市",360982
"中国,江西,宜春市,高安市",360983
"中国,江西,宜春市",360900
"中国,江西,抚州市,临川区",361002
"中国,江西,抚州市,南城县",361021
"中国,江西,抚州市,黎川县",361022
"中国,江西,抚州市,南丰县",361023
"中国,江西,抚州市,崇仁县",361024
"中国,江西,抚州市,乐安县",361025
"中国,江西,抚州市,宜黄县",361026
"中国,江西,抚州市,金溪县",361027
"中国,江西,抚州市,资溪县",361028
"中国,江西,抚州市,东乡区",361003
